;;Engle-Granger;Threshold;Momentum-Threshold;Momentum-Consistent
Jan 2003-Dez 2012;$\rho_{1}$;1;2;3;4
;$\rho_{2}$;1;2;3;4
;AIC;1;2;3;4
;$\Phi_{\mu}$;1;2;3;4
;$\rho_{1}=\rho_{2}$;1;2;3;4
;Q(4);1;2;3;4
;Q(8);1;2;3;4
;Q(12);1;2;3;4
Jan 2003-Dez 2007;$\rho_{1}$;1;2;3;4
;$\rho_{2}$;1;2;3;4
;AIC;1;2;3;4
;$\Phi_{\mu}$;1;2;3;4
;$\rho_{1}=\rho_{2}$;1;2;3;4
;Q(4);1;2;3;4
;Q(8);1;2;3;4
;Q(12);1;2;3;4
Jan 2008-Dez 2012;$\rho_{1}$;1;2;3;4
;$\rho_{2}$;1;2;3;4
;AIC;1;2;3;4
;$\Phi_{\mu}$;1;2;3;4
;$\rho_{1}=\rho_{2}$;1;2;3;4
;Q(4);1;2;3;4
;Q(8);1;2;3;4
;Q(12);1;2;3;4
